Question	 Annotator Answers	 Golden Answers	 tp	 fp	 fn	 pre	 rec	 f1
What is the alma mater of the chancellor of Germany Angela Merkel?	[Annotation [uri=[http://cs.dbpedia.org/resource/Lipská_univerzita, http://nl.dbpedia.org/resource/Universiteit_Leipzig, http://ko.wikipedia.org/wiki/%EB%9D%BC%EC%9D%B4%ED%94%84%EC%B9%98%ED%9E%88_%EB%8C%80%ED%95%99%EA%B5%90, http://pl.dbpedia.org/resource/Uniwersytet_w_Lipsku, http://sws.geonames.org/11524637/, http://rdf.freebase.com/ns/m.01y06y, http://cs.wikipedia.org/wiki/Lipsk%C3%A1_univerzita, http://dbpedia.org/resource/Leipzig_University, http://dbpedia.org/resource/Leipsic_University, http://de.wikipedia.org/wiki/Universit%C3%A4t_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10288396, http://it.wikipedia.org/wiki/Universit%C3%A0_di_Lipsia, http://en.wikipedia.org/wiki/Leipzig,_University_of, http://en.wikipedia.org/wiki/Universit%C3%A4t_Leipzig, http://ko.dbpedia.org/resource/?????_???, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8916613, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/6885564, http://dbpedia.org/resource/Universitaet_Leipzig, http://en.wikipedia.org/wiki/Leipsic_University, http://en.wikipedia.org/wiki/Universität_Leipzig, http://it.dbpedia.org/resource/Università_di_Lipsia, http://id.dbpedia.org/resource/Universitas_Leipzig, http://nl.wikipedia.org/wiki/Universiteit_Leipzig, http://ja.dbpedia.org/resource/%E3%83%A9%E3%82%A4%E3%83%97%E3%83%84%E3%82%A3%E3%83%92%E5%A4%A7%E5%AD%A6, http://de.dbpedia.org/resource/Universit%C3%A4t_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9412922, http://en.wikipedia.org/wiki/University_of_Leipsic, http://ja.wikipedia.org/wiki/????????, http://linkedgeodata.org/triplify/node26022996, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8832706, http://dbpedia.org/resource/Karl_Marx_University,_Leipzig, http://ko.dbpedia.org/resource/%EB%9D%BC%EC%9D%B4%ED%94%84%EC%B9%98%ED%9E%88_%EB%8C%80%ED%95%99%EA%B5%90, http://ko.wikipedia.org/wiki/?????_???, http://en.wikipedia.org/wiki/Leipzig_University, http://de.dbpedia.org/resource/Universität_Leipzig, http://it.wikipedia.org/wiki/Università_di_Lipsia, http://id.wikipedia.org/wiki/Universitas_Leipzig, http://d-nb.info/gnd/2024343-1, http://dbpedia.org/resource/University_of_Leipzig, http://en.wikipedia.org/wiki/Leipzig%2C_University_of, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9762266, http://fr.wikipedia.org/wiki/Université_de_Leipzig, http://www.wikidata.org/entity/Q154804, http://dbpedia.org/resource/University_of_Leipsic, http://yago-knowledge.org/resource/Leipzig_University, http://dbpedia.org/resource/Universit%C3%A4t_Leipzig, http://el.dbpedia.org/resource/????????????_???_???????, http://cs.dbpedia.org/resource/Lipsk%C3%A1_univerzita, http://ja.dbpedia.org/resource/????????, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9769449, http://en.wikipedia.org/wiki/Universitat_Leipzig, http://fr.dbpedia.org/resource/Universit%C3%A9_de_Leipzig, http://de.wikipedia.org/wiki/Universität_Leipzig, http://eu.dbpedia.org/resource/Leipzigeko_Unibertsitatea, http://pl.wikipedia.org/wiki/Uniwersytet_w_Lipsku, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8908421, http://es.wikipedia.org/wiki/Universidad_de_Leipzig, http://dbpedia.org/resource/Leipzig%2C_University_of, http://wikidata.dbpedia.org/resource/Q154804, http://es.dbpedia.org/resource/Universidad_de_Leipzig, http://en.wikipedia.org/wiki/Karl_Marx_University%2C_Leipzig, http://en.wikipedia.org/wiki/Karl_Marx_University,_Leipzig, http://fr.wikipedia.org/wiki/Universit%C3%A9_de_Leipzig, http://pt.dbpedia.org/resource/Universidade_de_Leipzig, http://cs.wikipedia.org/wiki/Lipská_univerzita, http://el.dbpedia.org/resource/%CE%A0%CE%B1%CE%BD%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%AE%CE%BC%CE%B9%CE%BF_%CF%84%CE%B7%CF%82_%CE%9B%CE%B5%CE%B9%CF%88%CE%AF%CE%B1%CF%82, http://dbpedia.org/resource/Leipzig,_University_of, http://dbpedia.org/resource/Universität_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8916982, http://en.wikipedia.org/wiki/Universitaet_Leipzig, http://eu.wikipedia.org/wiki/Leipzigeko_Unibertsitatea, http://pt.wikipedia.org/wiki/Universidade_de_Leipzig, http://dbpedia.org/resource/Karl_Marx_University%2C_Leipzig, http://dbpedia.org/resource/Universitat_Leipzig, http://en.wikipedia.org/wiki/University_of_Leipzig, http://it.dbpedia.org/resource/Universit%C3%A0_di_Lipsia, http://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%83%97%E3%83%84%E3%82%A3%E3%83%92%E5%A4%A7%E5%AD%A6, http://fr.dbpedia.org/resource/Université_de_Leipzig]], Annotation [uri=[http://wikidata.dbpedia.org/resource/Q2518, http://rdf.freebase.com/ns/m.0bj67, http://ja.dbpedia.org/resource/%E3%83%98%E3%83%AB%E3%83%A0%E3%83%BC%E3%83%88%E3%83%BB%E3%82%B3%E3%83%BC%E3%83%AB, http://en.wikipedia.org/wiki/Helmut_Michael_Kohl, http://viaf.org/viaf/100951272, http://pl.wikipedia.org/wiki/Helmut_Kohl, http://de.dbpedia.org/resource/Helmut_Kohl, http://d-nb.info/gnd/118564595, http://pt.wikipedia.org/wiki/Helmut_Kohl, http://en.wikipedia.org/wiki/Helmut_Josef_Michael_Kohl, http://eu.dbpedia.org/resource/Helmut_Kohl, http://es.dbpedia.org/resource/Helmut_Kohl, http://nl.wikipedia.org/wiki/Helmut_Kohl, http://cs.wikipedia.org/wiki/Helmut_Kohl, http://ko.wikipedia.org/wiki/%ED%97%AC%EB%AC%B4%ED%8A%B8_%EC%BD%9C, http://sw.cyc.com/concept/Mx4rvVj3-pwpEbGdrcN5Y29ycA, http://cs.dbpedia.org/resource/Helmut_Kohl, http://dbpedia.org/resource/Helmut_Kohl, http://www.wikidata.org/entity/Q2518, http://dbpedia.org/resource/Helmut_Josef_Michael_Kohl, http://ja.dbpedia.org/resource/?????????, http://ko.dbpedia.org/resource/???_?, http://data.europa.eu/euodp/jrc-names/Helmut_Kohl, http://fr.wikipedia.org/wiki/Helmut_Kohl, http://pl.dbpedia.org/resource/Helmut_Kohl, http://ko.dbpedia.org/resource/%ED%97%AC%EB%AC%B4%ED%8A%B8_%EC%BD%9C, http://en.wikipedia.org/wiki/Helmut_Kohl, http://fr.dbpedia.org/resource/Helmut_Kohl, http://pt.dbpedia.org/resource/Helmut_Kohl, http://el.dbpedia.org/resource/%CE%A7%CE%AD%CE%BB%CE%BC%CE%BF%CF%85%CF%84_%CE%9A%CE%BF%CE%BB, http://dbpedia.org/resource/Helmut_Michael_Kohl, http://de.wikipedia.org/wiki/Helmut_Kohl, http://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AB%E3%83%A0%E3%83%BC%E3%83%88%E3%83%BB%E3%82%B3%E3%83%BC%E3%83%AB, http://it.wikipedia.org/wiki/Helmut_Kohl, http://en.wikipedia.org/wiki/Chancellor_Kohl, http://dbpedia.org/resource/Chancellor_Kohl, http://eu.wikipedia.org/wiki/Helmut_Kohl, http://el.dbpedia.org/resource/???????_???, http://ko.wikipedia.org/wiki/???_?, http://www.bbc.co.uk/things/099b6af1-f0e3-47e6-81c7-055ba1390f19#id, http://en.wikipedia.org/wiki/Dr._Helmut_Kohl, http://ja.wikipedia.org/wiki/?????????, http://id.dbpedia.org/resource/Helmut_Kohl, http://nl.dbpedia.org/resource/Helmut_Kohl, http://it.dbpedia.org/resource/Helmut_Kohl, http://yago-knowledge.org/resource/Helmut_Kohl, http://es.wikipedia.org/wiki/Helmut_Kohl, http://id.wikipedia.org/wiki/Helmut_Kohl, http://dbpedia.org/resource/Dr._Helmut_Kohl]]]	[Annotation [uri=[http://dbpedia.org/resource/Leipzig_University]]]	1	1	0	0.5	1.0	0.6666666666666666
How large is the area of UK?	[2.42495e+11]	[2.42495e+11]	1	0	0	1.0	1.0	1.0
Who is the author of the interpretation of dreams?	[Annotation [uri=[http://eu.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Freudianism, http://d-nb.info/gnd/118535315, http://pt.dbpedia.org/resource/Psican%C3%A1lise, http://en.wikipedia.org/wiki/Freud’s, http://ko.wikipedia.org/wiki/%EC%A7%80%EA%B7%B8%EB%AC%B8%ED%8A%B8_%ED%94%84%EB%A1%9C%EC%9D%B4%ED%8A%B8, http://cs.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Freuds, http://en.wikipedia.org/wiki/Sigismund_Freud, http://en.wikipedia.org/wiki/Sigmund_Fruid, http://en.wikipedia.org/wiki/Psychological_analysis, http://dbpedia.org/resource/Psychoanalysts, http://en.wikipedia.org/wiki/Freudian_analyst, http://ko.dbpedia.org/resource/?????, http://en.wikipedia.org/wiki/Project_for_a_Scientific_Psychology, http://ja.dbpedia.org/resource/%E7%B2%BE%E7%A5%9E%E5%88%86%E6%9E%90%E5%AD%A6, http://dbpedia.org/resource/Psycho-analysis, http://es.dbpedia.org/resource/Psicoanálisis, http://en.wikipedia.org/wiki/Criticism_of_Freud, http://en.wikipedia.org/wiki/Freudian_theory, http://dbpedia.org/resource/Psychanalysis, http://cs.dbpedia.org/resource/Psychoanalýza, http://eu.wikipedia.org/wiki/Sigmund_Freud, http://es.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanylists, http://pl.dbpedia.org/resource/Psychoanaliza, http://wikidata.dbpedia.org/resource/Q9215, http://dbpedia.org/resource/Psychoanalytic_Psychiatry, http://dbpedia.org/resource/Sigmund_Schlomo_Freud, http://dbpedia.org/resource/Frued, http://en.wikipedia.org/wiki/History_of_psychoanalysis, http://rdf.freebase.com/ns/m.05wd8, http://en.wikipedia.org/wiki/Psychoanalysts, http://ko.wikipedia.org/wiki/?????, http://dbpedia.org/resource/Sigmond_Freud, http://en.wikipedia.org/wiki/Sigmund_freud, http://dbpedia.org/resource/Freud%E2%80%99s, http://dbpedia.org/resource/Psychoanylists, http://ja.dbpedia.org/resource/%E3%82%B8%E3%83%BC%E3%82%AF%E3%83%A0%E3%83%B3%E3%83%88%E3%83%BB%E3%83%95%E3%83%AD%E3%82%A4%E3%83%88, http://de.dbpedia.org/resource/Psychoanalyse, http://en.wikipedia.org/wiki/Sigismund_Shlomo_Freud, http://ko.dbpedia.org/resource/%EC%A0%95%EC%8B%A0%EB%B6%84%EC%84%9D%ED%95%99, http://dbpedia.org/resource/Freud, http://dbpedia.org/resource/Sophie_Halberstadt-Freud, http://dbpedia.org/resource/Dr._Sigmund_Freud, http://dbpedia.org/resource/Froyd, http://en.wikipedia.org/wiki/Sigmund_froyd, http://dbpedia.org/resource/Psychoanalysis, http://ja.wikipedia.org/wiki/%E7%B2%BE%E7%A5%9E%E5%88%86%E6%9E%90%E5%AD%A6, http://en.wikipedia.org/wiki/Psychoanalytical_theory, http://dbpedia.org/resource/Psychoanalytical_theory, http://dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalysis/Archives/2003-2005, http://dbpedia.org/resource/Freudian_psychoanalysis, http://es.wikipedia.org/wiki/Psicoanálisis, http://en.wikipedia.org/wiki/Psycho-analysis, http://dbpedia.org/resource/Freudian_psychology, http://dbpedia.org/resource/Psychoanalitic_theory, http://en.wikipedia.org/wiki/Siegmund_Freud, http://es.wikipedia.org/wiki/Psicoan%C3%A1lisis, http://en.wikipedia.org/wiki/Sigmund_Frued, http://de.wikipedia.org/wiki/Sigmund_Freud, http://sw.cyc.com/concept/Mx4rvmoRTZwpEbGdrcN5Y29ycA, http://pt.wikipedia.org/wiki/Psicanálise, http://en.wikipedia.org/wiki/Freudian_psychoanalysis, http://el.dbpedia.org/resource/%CE%A3%CE%AF%CE%B3%CE%BA%CE%BC%CE%BF%CF%85%CE%BD%CF%84_%CE%A6%CF%81%CF%8C%CF%85%CE%BD%CF%84, http://dbpedia.org/resource/Psychoanaylsis, http://dbpedia.org/resource/Sigmund_Frued, http://en.wikipedia.org/wiki/Psychoannalysis, http://en.wikipedia.org/wiki/Analysand, http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%BC%E3%82%AF%E3%83%A0%E3%83%B3%E3%83%88%E3%83%BB%E3%83%95%E3%83%AD%E3%82%A4%E3%83%88, http://dbpedia.org/resource/Psychoanalytic, http://id.dbpedia.org/resource/Sigmund_Freud, http://it.dbpedia.org/resource/Sigmund_Freud, http://es.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalytical, http://ja.dbpedia.org/resource/?????, http://fr.wikipedia.org/wiki/Psychanalyse, http://en.wikipedia.org/wiki/Freudian, http://en.wikipedia.org/wiki/Freudian_psychology, http://en.wikipedia.org/wiki/Psycho-analyst, http://en.wikipedia.org/wiki/Psychoanalitic_theory, http://ja.wikipedia.org/wiki/?????, http://en.wikipedia.org/wiki/Sigmond_Freud, http://dbpedia.org/resource/PSYCHOANALYTIC_TREATMENT, http://dbpedia.org/resource/Sigmund_froyd, http://pt.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalytic_therapy, http://id.dbpedia.org/resource/Psikoanalisis, http://en.wikipedia.org/wiki/Psychoanalytical, http://dbpedia.org/resource/Sigmund_freud, http://dbpedia.org/resource/Vienna_Psychoanalytic_Association, http://it.wikipedia.org/wiki/Psicoanalisi, http://en.wikipedia.org/wiki/Psychoanalytic_therapy, http://dbpedia.org/resource/Psychonalyst, http://en.wikipedia.org/wiki/Froyd, http://en.wikipedia.org/wiki/Freudism, http://dbpedia.org/resource/Criticism_of_Freud, http://dbpedia.org/resource/Freudian_Theory, http://dbpedia.org/resource/Psychological_analysis, http://dbpedia.org/resource/Freud%2C_Sigmund, http://eu.dbpedia.org/resource/Psikoanalisi, http://www4.wiwiss.fu-berlin.de/gutendata/resource/people/Freud_Sigmund_1856-1939, http://en.wikipedia.org/wiki/Psychanalysis, http://dbpedia.org/resource/Siegmund_Freud, http://wikidata.dbpedia.org/resource/Q41630, http://en.wikipedia.org/wiki/Psychoanalytic_Psychiatry, http://en.wikipedia.org/wiki/Sophie_Halberstadt-Freud, http://en.wikipedia.org/wiki/Frued, http://en.wikipedia.org/wiki/Psychoanalytic_psychotherapy, http://pt.wikipedia.org/wiki/Psican%C3%A1lise, http://en.wikipedia.org/wiki/Zigi_Frojd, http://fr.dbpedia.org/resource/Psychanalyse, http://en.wikipedia.org/wiki/Psychoanalyst, http://en.wikipedia.org/wiki/Psychoanalysis/Archives/2003-2005, http://de.wikipedia.org/wiki/Psychoanalyse, http://dbpedia.org/resource/History_of_psychoanalysis, http://dbpedia.org/resource/Psycho_Analysis, http://dbpedia.org/resource/Psychoanalytic_psychotherapy, http://en.wikipedia.org/wiki/Freud, http://dbpedia.org/resource/Sigmund_Fruid, http://d-nb.info/gnd/4047689-3, http://pl.wikipedia.org/wiki/Sigmund_Freud, http://nl.dbpedia.org/resource/Psychoanalyse, http://en.wikipedia.org/wiki/Freud,_Sigmund, http://pt.wikipedia.org/wiki/Sigmund_Freud, http://id.wikipedia.org/wiki/Psikoanalisis, http://en.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Zigi_Frojd, http://dbpedia.org/resource/Psycho-analyst, http://en.wikipedia.org/wiki/Sigmund_Schlomo_Freud, http://dbpedia.org/resource/Freudianism, http://en.wikipedia.org/wiki/Freud%E2%80%99s, http://es.dbpedia.org/resource/Psicoan%C3%A1lisis, http://it.wikipedia.org/wiki/Sigmund_Freud, http://en.wikipedia.org/wiki/Sigismund_Schlomo_Freud, http://it.dbpedia.org/resource/Psicoanalisi, http://dbpedia.org/resource/Psychoannalysis, http://el.dbpedia.org/resource/?????????_??????, http://en.wikipedia.org/wiki/Freuds, http://dbpedia.org/resource/Psychoanalyze, http://en.wikipedia.org/wiki/Dr._Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanaylsis, http://id.wikipedia.org/wiki/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanalytic_perspective, http://en.wikipedia.org/wiki/Psychoanalytical_feminism, http://dbpedia.org/resource/Sigismund_Shlomo_Freud, http://cs.wikipedia.org/wiki/Psychoanalýza, http://yago-knowledge.org/resource/Sigmund_Freud, http://nl.wikipedia.org/wiki/Sigmund_Freud, http://nl.dbpedia.org/resource/Sigmund_Freud, http://ko.dbpedia.org/resource/????_????, http://dbpedia.org/resource/Freud’s, http://ko.dbpedia.org/resource/%EC%A7%80%EA%B7%B8%EB%AC%B8%ED%8A%B8_%ED%94%84%EB%A1%9C%EC%9D%B4%ED%8A%B8, http://en.wikipedia.org/wiki/Psychonalyst, http://en.wikipedia.org/wiki/Freudian_Theory, http://en.wikipedia.org/wiki/S._Freud, http://cs.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Freudian_analysis, http://en.wikipedia.org/wiki/Psycho_Analysis, http://dbpedia.org/resource/S._Freud, http://data.europa.eu/euodp/jrc-names/Sigmund_Freud, http://cs.dbpedia.org/resource/Psychoanal%C3%BDza, http://dbpedia.org/resource/Psychoanalytical_feminism, http://dbpedia.org/resource/Freudian_analyst, http://dbpedia.org/resource/Criticism_of_Sigmund_Freud, http://dbpedia.org/resource/Sigismund_Freud, http://dbpedia.org/resource/Freudian, http://en.wikipedia.org/wiki/Freud%2C_Sigmund, http://rdf.freebase.com/ns/m.06myp, http://dbpedia.org/resource/Project_for_a_Scientific_Psychology, http://fr.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanalytic, http://dbpedia.org/resource/Freud,_Sigmund, http://dbpedia.org/resource/Psychoanalytic_perspective, http://dbpedia.org/resource/Psychoanalyst, http://ja.dbpedia.org/resource/???????????, http://www.wikidata.org/entity/Q41630, http://nl.wikipedia.org/wiki/Psychoanalyse, http://ko.wikipedia.org/wiki/%EC%A0%95%EC%8B%A0%EB%B6%84%EC%84%9D%ED%95%99, http://en.wikipedia.org/wiki/Psychoanalytic_school, http://dbpedia.org/resource/Psychoanalytic_school, http://pl.dbpedia.org/resource/Sigmund_Freud, http://fr.wikipedia.org/wiki/Sigmund_Freud, http://de.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Freudian_theory, http://dbpedia.org/resource/Freudism, http://en.wikipedia.org/wiki/Freudian_analysis, http://en.wikipedia.org/wiki/Vienna_Psychoanalytic_Association, http://en.wikipedia.org/wiki/Criticism_of_Sigmund_Freud, http://ko.wikipedia.org/wiki/????_????, http://en.wikipedia.org/wiki/Psychoanalyze, http://cs.wikipedia.org/wiki/Psychoanal%C3%BDza, http://dbpedia.org/resource/Sigismund_Schlomo_Freud, http://en.wikipedia.org/wiki/PSYCHOANALYTIC_TREATMENT, http://dbpedia.org/resource/Analysand, http://en.wikipedia.org/wiki/Psychoanalysis, http://eu.wikipedia.org/wiki/Psikoanalisi, http://pl.wikipedia.org/wiki/Psychoanaliza, http://pt.dbpedia.org/resource/Psicanálise, http://www.wikidata.org/entity/Q9215, http://ja.wikipedia.org/wiki/???????????]]]	[Annotation [uri=[http://dbpedia.org/resource/Sigmund_Freud]]]	1	0	0	1.0	1.0	1.0
What is the birth name of Adele?	[Annotation [uri=[http://ja.dbpedia.org/resource/?????, http://fr.dbpedia.org/resource/Tottenham_%28quartier%29, http://ko.wikipedia.org/wiki/???, http://it.wikipedia.org/wiki/Tottenham, http://dbpedia.org/resource/Tottenham%2C_United_Kingdom, http://fr.dbpedia.org/resource/Tottenham_(quartier), http://dbpedia.org/resource/Tottenham,_Middlesex, http://en.wikipedia.org/wiki/Tottenham,_Middlesex, http://dbpedia.org/resource/Totenham, http://dbpedia.org/resource/Tottenham%2C_London%2C_England, http://nl.dbpedia.org/resource/Tottenham, http://en.wikipedia.org/wiki/Tottenham%2C_London, http://rdf.freebase.com/ns/m.0ncf9, http://eu.wikipedia.org/wiki/Tottenham, http://ko.dbpedia.org/resource/%ED%86%A0%ED%8A%B8%EB%84%98, http://en.wikipedia.org/wiki/Tottenham%2C_England, http://dbpedia.org/resource/Tottenham%2C_Middlesex, http://en.wikipedia.org/wiki/Totenham, http://en.wikipedia.org/wiki/Tottenham, http://de.dbpedia.org/resource/Tottenham, http://wikidata.dbpedia.org/resource/Q503375, http://dbpedia.org/resource/Tottenham,_London,_England, http://dbpedia.org/resource/Tottenham,_United_Kingdom, http://ja.wikipedia.org/wiki/?????, http://dbpedia.org/resource/Tottenham%2C_England, http://ko.wikipedia.org/wiki/%ED%86%A0%ED%8A%B8%EB%84%98, http://sw.cyc.com/concept/Mx4rt4yvOTqkSuCyzbep8RidlQ, http://en.wikipedia.org/wiki/Tottenham,_England, http://nl.wikipedia.org/wiki/Tottenham, http://sws.geonames.org/2635608/, http://dbpedia.org/resource/Tottenham,_England, http://ja.dbpedia.org/resource/%E3%83%88%E3%83%83%E3%83%86%E3%83%8A%E3%83%A0, http://dbpedia.org/resource/Tottenham%2C_London, http://en.wikipedia.org/wiki/Tottenham%2C_Middlesex, http://es.wikipedia.org/wiki/Tottenham, http://pl.dbpedia.org/resource/Tottenham, http://fr.wikipedia.org/wiki/Tottenham_(quartier), http://en.wikipedia.org/wiki/Tottenham,_London,_England, http://pt.dbpedia.org/resource/Tottenham, http://eu.dbpedia.org/resource/Tottenham, http://fr.wikipedia.org/wiki/Tottenham_%28quartier%29, http://dbpedia.org/resource/Tottenham, http://en.wikipedia.org/wiki/Tottenham%2C_United_Kingdom, http://linkedgeodata.org/triplify/node27364686, http://pl.wikipedia.org/wiki/Tottenham, http://pt.wikipedia.org/wiki/Tottenham, http://ja.wikipedia.org/wiki/%E3%83%88%E3%83%83%E3%83%86%E3%83%8A%E3%83%A0, http://it.dbpedia.org/resource/Tottenham, http://en.wikipedia.org/wiki/Tottenham%2C_London%2C_England, http://de.wikipedia.org/wiki/Tottenham, http://en.wikipedia.org/wiki/Tottenham,_London, http://en.wikipedia.org/wiki/Tottenham,_United_Kingdom, http://ko.dbpedia.org/resource/???, http://www.wikidata.org/entity/Q503375, http://dbpedia.org/resource/Tottenham,_London, http://yago-knowledge.org/resource/Tottenham, http://es.dbpedia.org/resource/Tottenham]]]	[Adele Laurie Blue Adkins]	0	1	1	0.0	0.0	0.0
What are the top selling luxury vehicle brands in Germany?	[]	[Annotation [uri=[http://dbpedia.org/resource/Audi]], Annotation [uri=[http://dbpedia.org/resource/BMW]]]	0	0	2	0.0	0.0	0.0
how many awards has Bertrand Russell?	[5]	[5]	1	0	0	1.0	1.0	1.0
Who is daniel jurafsky?	[]	[Daniel Jurafsky, commonly known as Dan Jurafsky, is a Professor of Linguistics and Computer Science at Stanford University.]	0	0	1	0.0	0.0	0.0
When will start the final match of the football world cup 2018?	[]	[2018-07-15]	0	0	1	0.0	0.0	0.0
What is the difference between correlation and dependence?	[]	[In statistics, dependence or association is any statistical relationship, whether causal or not, between two random variables or two sets of data. Correlation is any of a broad class of statistical relationships involving dependence, though in common usage it most often refers to the extent to which two variables have a linear relationship with each other. Familiar examples of dependent phenomena include the correlation between the physical statures of parents and their offspring, and the correlation between the demand for a product and its price.]	0	0	1	0.0	0.0	0.0
how much is the elevation of Düsseldorf Airport ?	[3]	[44.8]	0	1	1	0.0	0.0	0.0
