Question	 Annotator Answers	 Golden Answers	 tp	 fp	 fn	 pre	 rec	 f1
What is the alma mater of the chancellor of Germany Angela Merkel?	[Annotation [uri=[http://cs.dbpedia.org/resource/Lipská_univerzita, http://nl.dbpedia.org/resource/Universiteit_Leipzig, http://ko.wikipedia.org/wiki/%EB%9D%BC%EC%9D%B4%ED%94%84%EC%B9%98%ED%9E%88_%EB%8C%80%ED%95%99%EA%B5%90, http://pl.dbpedia.org/resource/Uniwersytet_w_Lipsku, http://sws.geonames.org/11524637/, http://rdf.freebase.com/ns/m.01y06y, http://cs.wikipedia.org/wiki/Lipsk%C3%A1_univerzita, http://dbpedia.org/resource/Leipzig_University, http://dbpedia.org/resource/Leipsic_University, http://de.wikipedia.org/wiki/Universit%C3%A4t_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/10288396, http://it.wikipedia.org/wiki/Universit%C3%A0_di_Lipsia, http://en.wikipedia.org/wiki/Leipzig,_University_of, http://en.wikipedia.org/wiki/Universit%C3%A4t_Leipzig, http://ko.dbpedia.org/resource/?????_???, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8916613, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/6885564, http://dbpedia.org/resource/Universitaet_Leipzig, http://en.wikipedia.org/wiki/Leipsic_University, http://en.wikipedia.org/wiki/Universität_Leipzig, http://it.dbpedia.org/resource/Università_di_Lipsia, http://id.dbpedia.org/resource/Universitas_Leipzig, http://nl.wikipedia.org/wiki/Universiteit_Leipzig, http://ja.dbpedia.org/resource/%E3%83%A9%E3%82%A4%E3%83%97%E3%83%84%E3%82%A3%E3%83%92%E5%A4%A7%E5%AD%A6, http://de.dbpedia.org/resource/Universit%C3%A4t_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9412922, http://en.wikipedia.org/wiki/University_of_Leipsic, http://ja.wikipedia.org/wiki/????????, http://linkedgeodata.org/triplify/node26022996, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8832706, http://dbpedia.org/resource/Karl_Marx_University,_Leipzig, http://ko.dbpedia.org/resource/%EB%9D%BC%EC%9D%B4%ED%94%84%EC%B9%98%ED%9E%88_%EB%8C%80%ED%95%99%EA%B5%90, http://ko.wikipedia.org/wiki/?????_???, http://en.wikipedia.org/wiki/Leipzig_University, http://de.dbpedia.org/resource/Universität_Leipzig, http://it.wikipedia.org/wiki/Università_di_Lipsia, http://id.wikipedia.org/wiki/Universitas_Leipzig, http://d-nb.info/gnd/2024343-1, http://dbpedia.org/resource/University_of_Leipzig, http://en.wikipedia.org/wiki/Leipzig%2C_University_of, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9762266, http://fr.wikipedia.org/wiki/Université_de_Leipzig, http://www.wikidata.org/entity/Q154804, http://dbpedia.org/resource/University_of_Leipsic, http://yago-knowledge.org/resource/Leipzig_University, http://dbpedia.org/resource/Universit%C3%A4t_Leipzig, http://el.dbpedia.org/resource/????????????_???_???????, http://cs.dbpedia.org/resource/Lipsk%C3%A1_univerzita, http://ja.dbpedia.org/resource/????????, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/9769449, http://en.wikipedia.org/wiki/Universitat_Leipzig, http://fr.dbpedia.org/resource/Universit%C3%A9_de_Leipzig, http://de.wikipedia.org/wiki/Universität_Leipzig, http://eu.dbpedia.org/resource/Leipzigeko_Unibertsitatea, http://pl.wikipedia.org/wiki/Uniwersytet_w_Lipsku, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8908421, http://es.wikipedia.org/wiki/Universidad_de_Leipzig, http://dbpedia.org/resource/Leipzig%2C_University_of, http://wikidata.dbpedia.org/resource/Q154804, http://es.dbpedia.org/resource/Universidad_de_Leipzig, http://en.wikipedia.org/wiki/Karl_Marx_University%2C_Leipzig, http://en.wikipedia.org/wiki/Karl_Marx_University,_Leipzig, http://fr.wikipedia.org/wiki/Universit%C3%A9_de_Leipzig, http://pt.dbpedia.org/resource/Universidade_de_Leipzig, http://cs.wikipedia.org/wiki/Lipská_univerzita, http://el.dbpedia.org/resource/%CE%A0%CE%B1%CE%BD%CE%B5%CF%80%CE%B9%CF%83%CF%84%CE%AE%CE%BC%CE%B9%CE%BF_%CF%84%CE%B7%CF%82_%CE%9B%CE%B5%CE%B9%CF%88%CE%AF%CE%B1%CF%82, http://dbpedia.org/resource/Leipzig,_University_of, http://dbpedia.org/resource/Universität_Leipzig, http://www4.wiwiss.fu-berlin.de/cordis/resource/Organization/8916982, http://en.wikipedia.org/wiki/Universitaet_Leipzig, http://eu.wikipedia.org/wiki/Leipzigeko_Unibertsitatea, http://pt.wikipedia.org/wiki/Universidade_de_Leipzig, http://dbpedia.org/resource/Karl_Marx_University%2C_Leipzig, http://dbpedia.org/resource/Universitat_Leipzig, http://en.wikipedia.org/wiki/University_of_Leipzig, http://it.dbpedia.org/resource/Universit%C3%A0_di_Lipsia, http://ja.wikipedia.org/wiki/%E3%83%A9%E3%82%A4%E3%83%97%E3%83%84%E3%82%A3%E3%83%92%E5%A4%A7%E5%AD%A6, http://fr.dbpedia.org/resource/Université_de_Leipzig]]]	[Annotation [uri=[http://dbpedia.org/resource/Leipzig_University]]]	1	0	0	1.0	1.0	1.0
How large is the area of UK?	[]	[2.42495e+11]	0	0	1	0.0	0.0	0.0
Who is the author of the interpretation of dreams?	[Annotation [uri=[http://eu.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Freudianism, http://d-nb.info/gnd/118535315, http://pt.dbpedia.org/resource/Psican%C3%A1lise, http://en.wikipedia.org/wiki/Freud’s, http://ko.wikipedia.org/wiki/%EC%A7%80%EA%B7%B8%EB%AC%B8%ED%8A%B8_%ED%94%84%EB%A1%9C%EC%9D%B4%ED%8A%B8, http://cs.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Freuds, http://en.wikipedia.org/wiki/Sigismund_Freud, http://en.wikipedia.org/wiki/Sigmund_Fruid, http://en.wikipedia.org/wiki/Psychological_analysis, http://dbpedia.org/resource/Psychoanalysts, http://en.wikipedia.org/wiki/Freudian_analyst, http://ko.dbpedia.org/resource/?????, http://en.wikipedia.org/wiki/Project_for_a_Scientific_Psychology, http://ja.dbpedia.org/resource/%E7%B2%BE%E7%A5%9E%E5%88%86%E6%9E%90%E5%AD%A6, http://dbpedia.org/resource/Psycho-analysis, http://es.dbpedia.org/resource/Psicoanálisis, http://en.wikipedia.org/wiki/Criticism_of_Freud, http://en.wikipedia.org/wiki/Freudian_theory, http://dbpedia.org/resource/Psychanalysis, http://cs.dbpedia.org/resource/Psychoanalýza, http://eu.wikipedia.org/wiki/Sigmund_Freud, http://es.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanylists, http://pl.dbpedia.org/resource/Psychoanaliza, http://wikidata.dbpedia.org/resource/Q9215, http://dbpedia.org/resource/Psychoanalytic_Psychiatry, http://dbpedia.org/resource/Sigmund_Schlomo_Freud, http://dbpedia.org/resource/Frued, http://en.wikipedia.org/wiki/History_of_psychoanalysis, http://rdf.freebase.com/ns/m.05wd8, http://en.wikipedia.org/wiki/Psychoanalysts, http://ko.wikipedia.org/wiki/?????, http://dbpedia.org/resource/Sigmond_Freud, http://en.wikipedia.org/wiki/Sigmund_freud, http://dbpedia.org/resource/Freud%E2%80%99s, http://dbpedia.org/resource/Psychoanylists, http://ja.dbpedia.org/resource/%E3%82%B8%E3%83%BC%E3%82%AF%E3%83%A0%E3%83%B3%E3%83%88%E3%83%BB%E3%83%95%E3%83%AD%E3%82%A4%E3%83%88, http://de.dbpedia.org/resource/Psychoanalyse, http://en.wikipedia.org/wiki/Sigismund_Shlomo_Freud, http://ko.dbpedia.org/resource/%EC%A0%95%EC%8B%A0%EB%B6%84%EC%84%9D%ED%95%99, http://dbpedia.org/resource/Freud, http://dbpedia.org/resource/Sophie_Halberstadt-Freud, http://dbpedia.org/resource/Dr._Sigmund_Freud, http://dbpedia.org/resource/Froyd, http://en.wikipedia.org/wiki/Sigmund_froyd, http://dbpedia.org/resource/Psychoanalysis, http://ja.wikipedia.org/wiki/%E7%B2%BE%E7%A5%9E%E5%88%86%E6%9E%90%E5%AD%A6, http://en.wikipedia.org/wiki/Psychoanalytical_theory, http://dbpedia.org/resource/Psychoanalytical_theory, http://dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalysis/Archives/2003-2005, http://dbpedia.org/resource/Freudian_psychoanalysis, http://es.wikipedia.org/wiki/Psicoanálisis, http://en.wikipedia.org/wiki/Psycho-analysis, http://dbpedia.org/resource/Freudian_psychology, http://dbpedia.org/resource/Psychoanalitic_theory, http://en.wikipedia.org/wiki/Siegmund_Freud, http://es.wikipedia.org/wiki/Psicoan%C3%A1lisis, http://en.wikipedia.org/wiki/Sigmund_Frued, http://de.wikipedia.org/wiki/Sigmund_Freud, http://sw.cyc.com/concept/Mx4rvmoRTZwpEbGdrcN5Y29ycA, http://pt.wikipedia.org/wiki/Psicanálise, http://en.wikipedia.org/wiki/Freudian_psychoanalysis, http://el.dbpedia.org/resource/%CE%A3%CE%AF%CE%B3%CE%BA%CE%BC%CE%BF%CF%85%CE%BD%CF%84_%CE%A6%CF%81%CF%8C%CF%85%CE%BD%CF%84, http://dbpedia.org/resource/Psychoanaylsis, http://dbpedia.org/resource/Sigmund_Frued, http://en.wikipedia.org/wiki/Psychoannalysis, http://en.wikipedia.org/wiki/Analysand, http://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%BC%E3%82%AF%E3%83%A0%E3%83%B3%E3%83%88%E3%83%BB%E3%83%95%E3%83%AD%E3%82%A4%E3%83%88, http://dbpedia.org/resource/Psychoanalytic, http://id.dbpedia.org/resource/Sigmund_Freud, http://it.dbpedia.org/resource/Sigmund_Freud, http://es.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalytical, http://ja.dbpedia.org/resource/?????, http://fr.wikipedia.org/wiki/Psychanalyse, http://en.wikipedia.org/wiki/Freudian, http://en.wikipedia.org/wiki/Freudian_psychology, http://en.wikipedia.org/wiki/Psycho-analyst, http://en.wikipedia.org/wiki/Psychoanalitic_theory, http://ja.wikipedia.org/wiki/?????, http://en.wikipedia.org/wiki/Sigmond_Freud, http://dbpedia.org/resource/PSYCHOANALYTIC_TREATMENT, http://dbpedia.org/resource/Sigmund_froyd, http://pt.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Psychoanalytic_therapy, http://id.dbpedia.org/resource/Psikoanalisis, http://en.wikipedia.org/wiki/Psychoanalytical, http://dbpedia.org/resource/Sigmund_freud, http://dbpedia.org/resource/Vienna_Psychoanalytic_Association, http://it.wikipedia.org/wiki/Psicoanalisi, http://en.wikipedia.org/wiki/Psychoanalytic_therapy, http://dbpedia.org/resource/Psychonalyst, http://en.wikipedia.org/wiki/Froyd, http://en.wikipedia.org/wiki/Freudism, http://dbpedia.org/resource/Criticism_of_Freud, http://dbpedia.org/resource/Freudian_Theory, http://dbpedia.org/resource/Psychological_analysis, http://dbpedia.org/resource/Freud%2C_Sigmund, http://eu.dbpedia.org/resource/Psikoanalisi, http://www4.wiwiss.fu-berlin.de/gutendata/resource/people/Freud_Sigmund_1856-1939, http://en.wikipedia.org/wiki/Psychanalysis, http://dbpedia.org/resource/Siegmund_Freud, http://wikidata.dbpedia.org/resource/Q41630, http://en.wikipedia.org/wiki/Psychoanalytic_Psychiatry, http://en.wikipedia.org/wiki/Sophie_Halberstadt-Freud, http://en.wikipedia.org/wiki/Frued, http://en.wikipedia.org/wiki/Psychoanalytic_psychotherapy, http://pt.wikipedia.org/wiki/Psican%C3%A1lise, http://en.wikipedia.org/wiki/Zigi_Frojd, http://fr.dbpedia.org/resource/Psychanalyse, http://en.wikipedia.org/wiki/Psychoanalyst, http://en.wikipedia.org/wiki/Psychoanalysis/Archives/2003-2005, http://de.wikipedia.org/wiki/Psychoanalyse, http://dbpedia.org/resource/History_of_psychoanalysis, http://dbpedia.org/resource/Psycho_Analysis, http://dbpedia.org/resource/Psychoanalytic_psychotherapy, http://en.wikipedia.org/wiki/Freud, http://dbpedia.org/resource/Sigmund_Fruid, http://d-nb.info/gnd/4047689-3, http://pl.wikipedia.org/wiki/Sigmund_Freud, http://nl.dbpedia.org/resource/Psychoanalyse, http://en.wikipedia.org/wiki/Freud,_Sigmund, http://pt.wikipedia.org/wiki/Sigmund_Freud, http://id.wikipedia.org/wiki/Psikoanalisis, http://en.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Zigi_Frojd, http://dbpedia.org/resource/Psycho-analyst, http://en.wikipedia.org/wiki/Sigmund_Schlomo_Freud, http://dbpedia.org/resource/Freudianism, http://en.wikipedia.org/wiki/Freud%E2%80%99s, http://es.dbpedia.org/resource/Psicoan%C3%A1lisis, http://it.wikipedia.org/wiki/Sigmund_Freud, http://en.wikipedia.org/wiki/Sigismund_Schlomo_Freud, http://it.dbpedia.org/resource/Psicoanalisi, http://dbpedia.org/resource/Psychoannalysis, http://el.dbpedia.org/resource/?????????_??????, http://en.wikipedia.org/wiki/Freuds, http://dbpedia.org/resource/Psychoanalyze, http://en.wikipedia.org/wiki/Dr._Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanaylsis, http://id.wikipedia.org/wiki/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanalytic_perspective, http://en.wikipedia.org/wiki/Psychoanalytical_feminism, http://dbpedia.org/resource/Sigismund_Shlomo_Freud, http://cs.wikipedia.org/wiki/Psychoanalýza, http://yago-knowledge.org/resource/Sigmund_Freud, http://nl.wikipedia.org/wiki/Sigmund_Freud, http://nl.dbpedia.org/resource/Sigmund_Freud, http://ko.dbpedia.org/resource/????_????, http://dbpedia.org/resource/Freud’s, http://ko.dbpedia.org/resource/%EC%A7%80%EA%B7%B8%EB%AC%B8%ED%8A%B8_%ED%94%84%EB%A1%9C%EC%9D%B4%ED%8A%B8, http://en.wikipedia.org/wiki/Psychonalyst, http://en.wikipedia.org/wiki/Freudian_Theory, http://en.wikipedia.org/wiki/S._Freud, http://cs.wikipedia.org/wiki/Sigmund_Freud, http://dbpedia.org/resource/Freudian_analysis, http://en.wikipedia.org/wiki/Psycho_Analysis, http://dbpedia.org/resource/S._Freud, http://data.europa.eu/euodp/jrc-names/Sigmund_Freud, http://cs.dbpedia.org/resource/Psychoanal%C3%BDza, http://dbpedia.org/resource/Psychoanalytical_feminism, http://dbpedia.org/resource/Freudian_analyst, http://dbpedia.org/resource/Criticism_of_Sigmund_Freud, http://dbpedia.org/resource/Sigismund_Freud, http://dbpedia.org/resource/Freudian, http://en.wikipedia.org/wiki/Freud%2C_Sigmund, http://rdf.freebase.com/ns/m.06myp, http://dbpedia.org/resource/Project_for_a_Scientific_Psychology, http://fr.dbpedia.org/resource/Sigmund_Freud, http://en.wikipedia.org/wiki/Psychoanalytic, http://dbpedia.org/resource/Freud,_Sigmund, http://dbpedia.org/resource/Psychoanalytic_perspective, http://dbpedia.org/resource/Psychoanalyst, http://ja.dbpedia.org/resource/???????????, http://www.wikidata.org/entity/Q41630, http://nl.wikipedia.org/wiki/Psychoanalyse, http://ko.wikipedia.org/wiki/%EC%A0%95%EC%8B%A0%EB%B6%84%EC%84%9D%ED%95%99, http://en.wikipedia.org/wiki/Psychoanalytic_school, http://dbpedia.org/resource/Psychoanalytic_school, http://pl.dbpedia.org/resource/Sigmund_Freud, http://fr.wikipedia.org/wiki/Sigmund_Freud, http://de.dbpedia.org/resource/Sigmund_Freud, http://dbpedia.org/resource/Freudian_theory, http://dbpedia.org/resource/Freudism, http://en.wikipedia.org/wiki/Freudian_analysis, http://en.wikipedia.org/wiki/Vienna_Psychoanalytic_Association, http://en.wikipedia.org/wiki/Criticism_of_Sigmund_Freud, http://ko.wikipedia.org/wiki/????_????, http://en.wikipedia.org/wiki/Psychoanalyze, http://cs.wikipedia.org/wiki/Psychoanal%C3%BDza, http://dbpedia.org/resource/Sigismund_Schlomo_Freud, http://en.wikipedia.org/wiki/PSYCHOANALYTIC_TREATMENT, http://dbpedia.org/resource/Analysand, http://en.wikipedia.org/wiki/Psychoanalysis, http://eu.wikipedia.org/wiki/Psikoanalisi, http://pl.wikipedia.org/wiki/Psychoanaliza, http://pt.dbpedia.org/resource/Psicanálise, http://www.wikidata.org/entity/Q9215, http://ja.wikipedia.org/wiki/???????????]]]	[Annotation [uri=[http://dbpedia.org/resource/Sigmund_Freud]]]	1	0	0	1.0	1.0	1.0
What is the birth name of Adele?	[1988]	[Adele Laurie Blue Adkins]	0	1	1	0.0	0.0	0.0
What are the top selling luxury vehicle brands in Germany?	[http://es.wikipedia.org/wiki/Castillo_de_K%C3%B6nigsberg, http://dbpedia.org/resource/K%C3%B6nigsberg_Castle, http://pt.wikipedia.org/wiki/Königsberger_Schloss, http://fr.dbpedia.org/resource/Ch%C3%A2teau_de_K%C3%B6nigsberg, http://d-nb.info/gnd/4667894-3, http://it.wikipedia.org/wiki/Palazzo_Reale_di_Königsberg, http://pt.dbpedia.org/resource/Königsberger_Schloss, http://nl.dbpedia.org/resource/Slot_van_Koningsbergen, http://yago-knowledge.org/resource/Königsberg_Castle, http://rdf.freebase.com/ns/m.0bgcbh, http://cs.dbpedia.org/resource/Kr%C3%A1lovec_%28hrad%29, http://de.dbpedia.org/resource/Königsberger_Schloss, http://cs.wikipedia.org/wiki/Kr%C3%A1lovec_%28hrad%29, http://pl.wikipedia.org/wiki/Zamek_krzy?acki_w_Królewcu, http://fr.dbpedia.org/resource/Château_de_Königsberg, http://pl.dbpedia.org/resource/Zamek_krzy%C5%BCacki_w_Kr%C3%B3lewcu, http://www.wikidata.org/entity/Q571409, http://nl.wikipedia.org/wiki/Slot_van_Koningsbergen, http://cs.wikipedia.org/wiki/Královec_(hrad), http://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_K%C3%B6nigsberg, http://cs.dbpedia.org/resource/Královec_(hrad), http://pt.wikipedia.org/wiki/K%C3%B6nigsberger_Schloss, http://pl.wikipedia.org/wiki/Zamek_krzy%C5%BCacki_w_Kr%C3%B3lewcu, http://dbpedia.org/resource/Königsberg_Castle, http://de.wikipedia.org/wiki/K%C3%B6nigsberger_Schloss, http://pt.dbpedia.org/resource/K%C3%B6nigsberger_Schloss, http://de.dbpedia.org/resource/K%C3%B6nigsberger_Schloss, http://es.dbpedia.org/resource/Castillo_de_Königsberg, http://yago-knowledge.org/resource/K%C3%B6nigsberg_Castle, http://en.wikipedia.org/wiki/Koenigsberg_Castle, http://en.wikipedia.org/wiki/Konigsberg_Castle, http://en.wikipedia.org/wiki/K%C3%B6nigsberg_Castle, http://de.wikipedia.org/wiki/Königsberger_Schloss, http://wikidata.dbpedia.org/resource/Q571409, http://es.wikipedia.org/wiki/Castillo_de_Königsberg, http://en.wikipedia.org/wiki/Königsberg_Castle, http://pl.dbpedia.org/resource/Zamek_krzy?acki_w_Królewcu, http://dbpedia.org/resource/Konigsberg_Castle, http://fr.wikipedia.org/wiki/Château_de_Königsberg, http://it.dbpedia.org/resource/Palazzo_Reale_di_K%C3%B6nigsberg, http://it.dbpedia.org/resource/Palazzo_Reale_di_Königsberg, http://it.wikipedia.org/wiki/Palazzo_Reale_di_K%C3%B6nigsberg, http://dbpedia.org/resource/Koenigsberg_Castle, http://es.dbpedia.org/resource/Castillo_de_K%C3%B6nigsberg]	[Annotation [uri=[http://dbpedia.org/resource/Audi]], Annotation [uri=[http://dbpedia.org/resource/BMW]]]	0	44	2	0.0	0.0	0.0
how many awards has Bertrand Russell?	[5]	[5]	1	0	0	1.0	1.0	1.0
Who is daniel jurafsky?	[]	[Daniel Jurafsky, commonly known as Dan Jurafsky, is a Professor of Linguistics and Computer Science at Stanford University.]	0	0	1	0.0	0.0	0.0
When will start the final match of the football world cup 2018?	[Annotation [uri=[http://pt.dbpedia.org/resource/Salto_ornamental, http://it.dbpedia.org/resource/Tuffi, http://dbpedia.org/resource/Diving_techniques, http://nl.dbpedia.org/resource/Schoonspringen, http://dbpedia.org/resource/Synchronized_diving, http://ja.wikipedia.org/wiki/%E9%A3%9B%E8%BE%BC%E7%AB%B6%E6%8A%80, http://eu.wikipedia.org/wiki/Tranpolin_jauzi, http://en.wikipedia.org/wiki/Pike_%28diving%29, http://dbpedia.org/resource/Competitive_diving, http://en.wikipedia.org/wiki/Synchronized_springboard_diving, http://ja.dbpedia.org/resource/????, http://cs.wikipedia.org/wiki/Skoky_do_vody, http://dbpedia.org/resource/Synchronized_springboard_diving, http://d-nb.info/gnd/4189259-8, http://dbpedia.org/resource/Diving_%28sport%29, http://dbpedia.org/resource/Springboard_and_platform_diving, http://pt.wikipedia.org/wiki/Salto_ornamental, http://ko.dbpedia.org/resource/???, http://es.dbpedia.org/resource/Salto_(natación), http://id.wikipedia.org/wiki/Loncat_indah, http://en.wikipedia.org/wiki/The_Can_Opener, http://fr.dbpedia.org/resource/Plongeon, http://en.wikipedia.org/wiki/Synchronized_platform_diving, http://en.wikipedia.org/wiki/Diving, http://dbpedia.org/resource/Synchronized_platform_diving, http://pl.wikipedia.org/wiki/Skoki_do_wody, http://ko.wikipedia.org/wiki/%EB%8B%A4%EC%9D%B4%EB%B9%99, http://ja.dbpedia.org/resource/%E9%A3%9B%E8%BE%BC%E7%AB%B6%E6%8A%80, http://en.wikipedia.org/wiki/Competitive_diver, http://el.dbpedia.org/resource/??????????, http://en.wikipedia.org/wiki/Synchronized_platform, http://en.wikipedia.org/wiki/Synchronised_diving, http://dbpedia.org/resource/Sychronized_diving, http://pl.dbpedia.org/resource/Skoki_do_wody, http://rdf.freebase.com/ns/m.02bkg, http://en.wikipedia.org/wiki/Diving_%28sport%29, http://www.wikidata.org/entity/Q7735, http://de.wikipedia.org/wiki/Wasserspringen, http://dbpedia.org/resource/Diving_(sport), http://it.wikipedia.org/wiki/Tuffi, http://dbpedia.org/resource/Plunging, http://dbpedia.org/resource/Synchronized_platform, http://ko.wikipedia.org/wiki/???, http://en.wikipedia.org/wiki/Plunging, http://dbpedia.org/resource/The_Can_Opener, http://dbpedia.org/resource/Pike_%28diving%29, http://eu.dbpedia.org/resource/Tranpolin_jauzi, http://el.dbpedia.org/resource/%CE%9A%CE%B1%CF%84%CE%B1%CE%B4%CF%8D%CF%83%CE%B5%CE%B9%CF%82, http://dbpedia.org/resource/Competitive_diver, http://en.wikipedia.org/wiki/Synchronized_diving, http://id.dbpedia.org/resource/Loncat_indah, http://dbpedia.org/resource/Synchronised_diving, http://en.wikipedia.org/wiki/Diving_techniques, http://es.wikipedia.org/wiki/Salto_(natación), http://de.dbpedia.org/resource/Wasserspringen, http://en.wikipedia.org/wiki/Competitive_diving, http://en.wikipedia.org/wiki/Springboard_and_platform_diving, http://nl.wikipedia.org/wiki/Schoonspringen, http://fr.wikipedia.org/wiki/Plongeon, http://cs.dbpedia.org/resource/Skoky_do_vody, http://ja.wikipedia.org/wiki/????, http://en.wikipedia.org/wiki/Sychronized_diving, http://es.dbpedia.org/resource/Salto_%28nataci%C3%B3n%29, http://en.wikipedia.org/wiki/Pike_(diving), http://wikidata.dbpedia.org/resource/Q7735, http://www.bbc.co.uk/things/d9d6cc4d-79f1-ab49-9c9e-c98d166b99fe#id, http://en.wikipedia.org/wiki/Diving_(sport), http://dbpedia.org/resource/Diving, http://dbpedia.org/resource/Pike_(diving), http://ko.dbpedia.org/resource/%EB%8B%A4%EC%9D%B4%EB%B9%99, http://es.wikipedia.org/wiki/Salto_%28nataci%C3%B3n%29]]]	[2018-07-15]	0	1	1	0.0	0.0	0.0
What is the difference between correlation and dependence?	[]	[In statistics, dependence or association is any statistical relationship, whether causal or not, between two random variables or two sets of data. Correlation is any of a broad class of statistical relationships involving dependence, though in common usage it most often refers to the extent to which two variables have a linear relationship with each other. Familiar examples of dependent phenomena include the correlation between the physical statures of parents and their offspring, and the correlation between the demand for a product and its price.]	0	0	1	0.0	0.0	0.0
how much is the elevation of Düsseldorf Airport ?	[0]	[44.8]	0	1	1	0.0	0.0	0.0
